[21796:21740:1101/104358.393:WARNING:chrome_main_delegate.cc(613)] This is Chrome version 118.0.5993.118 (not a warning)
[21796:21740:1101/104358.569:INFO:policy_logger.cc(142)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[21796:21740:1101/104358.569:INFO:policy_logger.cc(142)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[21796:21740:1101/104400.820:INFO:CONSOLE(0)] "Fetch event handler is recognized as no-op. No-op fetch handler may bring overhead during navigation. Consider removing the handler if possible.", source:  (0)
[21796:21740:1101/113129.190:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113129.212:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113212.040:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113212.298:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113253.591:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113253.643:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113307.542:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113307.627:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113348.953:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113348.979:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
